date,close,high,low,open
2003/12/18,1173.4,1173.4,1173.4,1173.4
2003/12/19,1163.64,1163.64,1163.64,1163.64
2003/12/22,1195.44,1195.44,1195.44,1195.44
2003/12/23,1201.08,1201.08,1201.08,1201.08
2003/12/24,1212.33,1212.33,1212.33,1212.33
2003/12/25,1209.06,1209.06,1209.06,1209.06
2003/12/26,1208.52,1208.52,1208.52,1208.52
2003/12/29,1199.25,1199.25,1199.25,1199.25
2003/12/30,1207.1,1207.1,1207.1,1207.1
2003/12/31,1194.74,1194.74,1194.74,1194.74
2004/1/2,1204.61,1204.61,1204.61,1204.61
2004/1/5,1240.47,1240.47,1240.47,1240.47
2004/1/6,1251.14,1251.14,1251.14,1251.14
2004/1/7,1266.27,1266.27,1266.27,1266.27
2004/1/8,1284.34,1284.34,1284.34,1284.34
2004/1/9,1266.41,1266.41,1266.41,1266.41
2004/1/12,1294.68,1294.68,1294.68,1294.68
2004/1/13,1293.18,1293.18,1293.18,1293.18
2004/1/14,1277.96,1277.96,1277.96,1277.96
2004/1/15,1273.62,1273.62,1273.62,1273.62
2004/1/16,1284.3,1284.3,1284.3,1284.3
2004/1/29,1311.95,1311.95,1311.95,1311.95
2004/1/30,1281.33,1281.33,1281.33,1281.33
2004/2/2,1307.27,1307.27,1307.27,1307.27
2004/2/3,1321,1321,1321,1321
2004/2/4,1348.86,1348.86,1348.86,1348.86
2004/2/5,1353.85,1353.85,1353.85,1353.85
2004/2/6,1347.22,1347.22,1347.22,1347.22
2004/2/9,1368.84,1368.84,1368.84,1368.84
2004/2/10,1363.06,1363.06,1363.06,1363.06
2004/2/11,1354.75,1354.75,1354.75,1354.75
2004/2/12,1345.66,1345.66,1345.66,1345.66
2004/2/13,1342.34,1342.34,1342.34,1342.34
2004/2/16,1373.3,1373.3,1373.3,1373.3
2004/2/17,1380.37,1380.37,1380.37,1380.37
2004/2/18,1391.36,1391.36,1391.36,1391.36
2004/2/19,1385.98,1385.98,1385.98,1385.98
2004/2/20,1391.1,1391.1,1391.1,1391.1
2004/2/23,1359.24,1359.24,1359.24,1359.24
2004/2/24,1356.31,1356.31,1356.31,1356.31
2004/2/25,1329.44,1329.44,1329.44,1329.44
2004/2/26,1335.86,1335.86,1335.86,1335.86
2004/2/27,1351.61,1351.61,1351.61,1351.61
2004/3/1,1366.91,1366.91,1366.91,1366.91
2004/3/2,1363.19,1363.19,1363.19,1363.19
2004/3/3,1341.22,1341.22,1341.22,1341.22
2004/3/4,1349.85,1349.85,1349.85,1349.85
2004/3/5,1341.76,1341.76,1341.76,1341.76
2004/3/8,1317.3,1317.3,1317.3,1317.3
2004/3/9,1314.17,1314.17,1314.17,1314.17
